Scheduled Aircraft Utilization
15/01/2026-15/01/2026
Date,AC,"            Dom 
Block

","Int 
Block
","Total 
Block
","Dom 
Cycles
"," Int      Cycles
","Total 
Cycles
","Dom 
Share
"," Int     Share
","Block Share
","Average 
Util
"
15.01,320,65:45,100:00,165:45,38,25,63,6.058%,9.214%,15.272%,11:03
15.01,321,240:50,570:40,811:30,151,153,304,22.19%,52.58%,74.77%,12:40
15.01,330,16:00,92:05,108:05,8,13,21,1.474%,8.484%,9.959%,13:30
Totals :,,322:35,762:45,1085:20,197,191,388,29.722%,70.278%,100.000%,12:28
Period Totals :,,322:35,762:45,1085:20,197,191,388,29.722%,70.278%,100.000%,12:28

"Generated on  Jan 15, 2026 15:11",,,,,,Page 1 of 1
